LSOA11CD,LSOAarea,SUM_service_area,LSOAname,population,per_capita_SA,per_square_meter_SA,location_quotient,Shape_Length,Shape_Area,pop_density
E01008881,396866.9375,564294.9175,Birmingham 067A,1642,343.6631775,1.421874404,1.158503771,3912.34653,396866.9522,4137
E01008882,245892.1719,268858.5906,Birmingham 066A,1769,151.9833679,1.093400359,0.512342751,2891.90592,245892.1681,7194
E01008883,393912.1563,644432.0098,Birmingham 078A,2050,314.3570862,1.635978937,1.059711695,3750.802882,393912.1554,5204
E01008884,698426.0625,798720.0831,Birmingham 078B,2091,381.97995,1.143600106,1.287671447,5451.077346,698426.0858,2994
E01008885,192835.0781,455707.0328,Birmingham 076A,1373,331.9060669,2.363195658,1.118870139,2807.79099,192835.0854,7120
E01008886,452937.9375,814082.2652,Birmingham 076B,1616,503.7637634,1.797337294,1.69821012,3541.263403,452937.9521,3568
E01008887,458409.625,573148.7569,Birmingham 078C,1614,355.1107483,1.250298262,1.197094202,5382.088184,458409.6243,3521
E01008888,224172.5156,473057.2537,Birmingham 076C,1689,280.0812683,2.110237598,0.944166422,2725.100457,224172.5223,7534
E01008889,832788.25,1298426.626,Birmingham 078D,1801,720.9475708,1.559131742,2.430346489,7458.143646,832788.2619,2163
E01008890,308681.9063,448580.7247,Birmingham 089A,1873,239.4985199,1.453213573,0.807360172,3599.940783,308681.9213,6068
E01008891,292856.2188,516678.6996,Birmingham 089B,1655,312.1925659,1.76427424,1.052415013,3521.041741,292856.2147,5651
E01008892,142717.3594,142717.3525,Birmingham 089C,1575,90.61418915,0.99999994,0.305464476,2563.155222,142717.3525,11036
E01008893,286145.7813,459611.1261,Birmingham 089D,1822,252.2563782,1.606213212,0.850367486,3548.158487,286145.7716,6367
E01008894,265569.4688,294777.2297,Birmingham 089E,1474,199.9845581,1.109981656,0.674156845,3850.561988,265569.4724,5550
E01008895,283644.7188,402176.8177,Birmingham 089F,1854,216.9238434,1.417889357,0.731259942,2928.875323,283644.7109,6536
E01008896,203729.9375,217847.0715,Birmingham 066B,1623,134.2249298,1.06929338,0.45247823,2268.60093,203729.9401,7966
E01008897,227995.9844,286099.2104,Birmingham 067B,1855,154.2313843,1.254843235,0.519920826,3418.535297,227995.9801,8136
E01008898,199455.4844,217781.4371,Birmingham 066C,1704,127.8060074,1.091879964,0.430839747,2128.759075,199455.4789,8543
E01008899,897664.4375,889434.8791,Birmingham 037A,1250,711.5479126,0.990832269,2.398659706,7087.178067,897664.4555,1393
E01008901,869784.625,859948.0076,Birmingham 037C,1762,488.0522156,0.988690734,1.64524579,5820.434788,869784.6464,2026
E01008905,127183.2109,317416.811,Birmingham 040A,1729,183.5840454,2.495744705,0.61886996,2083.290124,127183.2085,13595
E01008906,111668.5078,281953.5717,Birmingham 049A,1818,155.0899658,2.524915695,0.522815228,2469.751213,111668.5109,16280
E01008907,166879.375,255295.4567,Birmingham 040B,1649,154.8183441,1.529820323,0.521899521,2168.997662,166879.378,9881
E01008909,228107.0625,405492.1214,Birmingham 041D,1755,231.0496368,1.777639508,0.778878629,3098.078267,228107.062,7694
E01008910,489206.4375,498214.3883,Birmingham 050A,1568,317.7387695,1.018413424,1.07111156,4584.997226,489206.4376,3205
E01008911,236134.0469,203530.8113,Birmingham 049B,1735,117.3088226,0.861929119,0.395453274,3815.590293,236134.051,7348
E01008913,290504.7813,285488.4789,Birmingham 050B,1766,161.6582489,0.982732475,0.544957161,3136.488618,290504.7758,6079
E01008914,670736.0625,150372.2534,Birmingham 050C,3012,49.92438507,0.224189907,0.168297336,4079.684746,670736.0318,4491
E01008915,595160.5625,108582.1013,Birmingham 030A,1631,66.57394409,0.182441697,0.224423721,4725.135588,595160.5526,2740
E01008916,252285.5469,223214.3151,Birmingham 037E,1742,128.1368103,0.884768546,0.431954861,3237.5734,252285.5421,6905
E01008917,356945.3438,688139.8802,Birmingham 102A,1327,518.5681152,1.927857876,1.748116136,3698.197571,356945.3462,3718
E01008918,413619.4688,780417.8461,Birmingham 094A,1733,450.3276672,1.886801481,1.518074632,4779.867327,413619.4802,4190
E01008919,640511.9375,1115129.658,Birmingham 095A,1553,718.0487061,1.740997434,2.420574188,4368.539388,640511.921,2425
E01008920,417638.5313,831970.8916,Birmingham 094B,1335,623.1991577,1.992083669,2.100832224,3889.483017,417638.5291,3197
E01008921,619881.6875,638231.1598,Birmingham 094C,1440,443.216095,1.029601574,1.494101167,4522.539041,619881.7121,2323
E01008923,291846.6563,586193.3204,Birmingham 102B,1398,419.3085327,2.008566141,1.4135077,3783.53032,291846.6631,4790
E01008924,411321.75,832597.8563,Birmingham 101A,1458,571.0547485,2.024200916,1.925051093,4663.597926,411321.7453,3545
E01008925,254454.4375,235764.2866,Birmingham 102C,1247,189.0651855,0.926548123,0.637347162,2364.388955,254454.4445,4901
E01008927,365586.6875,467232.886,Birmingham 102D,1411,331.1359863,1.278035879,1.116274118,3483.208271,365586.6767,3860
E01008928,338765.4688,741363.7471,Birmingham 102E,1481,500.5832214,2.188427687,1.687488317,3297.748084,338765.4683,4372
E01008929,532836.3125,934145.2778,Birmingham 106C,1526,612.1528931,1.753156185,2.06359458,5400.6903,532836.2864,2864
E01008930,1557093.25,1713752.324,Birmingham 106D,1933,886.5764771,1.100609899,2.988688707,5430.659974,1557093.24,1241
E01008931,627848.875,452753.6898,Birmingham 094D,1484,305.0900879,0.721118927,1.028472304,5093.597379,627848.8783,2364
E01008932,376255.5313,638844.3256,Birmingham 111A,1600,399.27771,1.697900176,1.345982909,4018.344488,376255.5338,4252
E01008933,460044.3438,839617.0942,Birmingham 105A,1553,540.6420288,1.825078607,1.822528362,3998.595413,460044.3526,3376
E01008934,261000.7969,336723.4663,Birmingham 105B,1422,236.7956848,1.290124297,0.798248768,3300.687671,261000.7978,5448
E01008935,559699,930044.0756,Birmingham 111B,1734,536.357605,1.661686182,1.808085322,4719.46544,559699.0265,3098
E01008936,339165.8125,435896.4218,Birmingham 111C,1619,269.2380676,1.28520155,0.907613516,2721.297836,339165.8099,4773
E01008937,348504.1563,348504.1665,Birmingham 115A,1454,239.6864929,1,0.807993829,4140.987263,348504.1665,4172
E01008938,214392.7656,241986.8005,Birmingham 111D,1637,147.8233337,1.128707886,0.49831903,2969.159499,214392.7708,7636
E01008939,346116.7188,431394.7915,Birmingham 111E,1586,272.00177,1.246385336,0.91693002,4759.901782,346116.7078,4582
E01008940,392928.8125,516668.0813,Birmingham 115B,1518,340.3610535,1.31491518,1.147372246,3653.942404,392928.8077,3863
E01008941,238747.7656,300880.2759,Birmingham 115C,1552,193.8661499,1.260243297,0.653531432,2663.670753,238747.7704,6501
E01008942,245822.1406,280629.1189,Birmingham 117A,1620,173.2278442,1.141594172,0.583958805,2820.111911,245822.1356,6590
E01008943,492648.5625,505863.2382,Birmingham 117B,1616,313.0341797,1.026823759,1.055252194,3561.496589,492648.569,3280
E01008944,419969.9375,650604.3543,Birmingham 115D,1671,389.3503113,1.549168825,1.312517166,2943.009635,419969.9419,3979
E01008945,275711.375,404108.8279,Birmingham 122A,1827,221.1871033,1.465695143,0.745631576,3840.504627,275711.3643,6626
E01008946,328398.4688,487803.0576,Birmingham 122B,1527,319.4519043,1.485399961,1.076886535,3984.621867,328398.4727,4650
E01008947,191870.8906,385696.364,Birmingham 122C,1399,275.6943359,2.010186911,0.929377854,3141.889807,191870.8932,7291
E01008948,259898.6563,426659.5633,Birmingham 122D,1474,289.4569702,1.64163816,0.975772321,2768.409491,259898.6559,5671
E01008949,194648.9219,217615.4684,Birmingham 122E,1268,171.6210327,1.11798954,0.578542113,2806.740807,194648.9253,6514
E01008950,542521.1875,1004063.754,Birmingham 113A,1408,713.1134644,1.850736499,2.403937101,3953.28658,542521.172,2595
E01008951,375186.2813,1062870.631,Birmingham 112A,1386,766.8619385,2.832914352,2.585125685,3922.968332,375186.2899,3694
E01008952,381634.1875,591785.9415,Birmingham 112B,1662,356.0685425,1.550662756,1.200322986,3737.838252,381634.187,4355
E01008953,336961.4063,370083.1234,Birmingham 107A,1520,243.4757385,1.098295331,0.820767581,3327.004296,336961.4066,4511
E01008954,514260.9375,893528.5069,Birmingham 113B,1348,662.8549805,1.737500191,2.234513521,5418.021857,514260.9516,2621
E01008955,479706.2813,720426.1328,Birmingham 112C,1581,455.6774902,1.501806736,1.53610909,5163.433157,479706.2657,3296
E01008956,380244.125,813476.363,Birmingham 112D,1468,554.1392212,2.139352798,1.868027925,4327.791226,380244.1249,3861
E01008957,235143.0781,57733.13746,Birmingham 112E,1764,32.7285347,0.245523438,0.110329352,2858.574807,235143.0763,7502
E01008958,327284.0625,496186.5495,Birmingham 113C,1586,312.8540649,1.516073108,1.054644942,4356.479794,327284.0507,4846
E01008959,373293.5625,511673.5701,Birmingham 116A,1731,295.5942078,1.37070024,0.996461213,3330.584859,373293.5647,4637
E01008960,234799.625,270409.1096,Birmingham 116B,1546,174.9088745,1.151659012,0.589625597,3263.59,234799.6177,6584
E01008961,272768.5313,52532.54284,Birmingham 116C,1452,36.17943573,0.192590192,0.121962495,3700.440548,272768.5157,5323
E01008962,273341.6875,163051.0474,Birmingham 116D,2005,81.32221985,0.596509993,0.274140805,2693.702913,273341.695,7335
E01008963,490444.625,852744.5439,Birmingham 107B,1310,650.9500122,1.738717318,2.194381475,4296.788929,490444.6294,2671
E01008964,274457.0313,569840.1918,Birmingham 107C,1458,390.8368835,2.076245546,1.317528605,2952.055515,274457.0233,5312
E01008965,296241.1875,516181.3022,Birmingham 107D,1519,339.8165283,1.742435932,1.145536661,3448.973879,296241.1867,5128
E01008966,261807.4844,339306.914,Birmingham 107E,1519,223.3751831,1.296016812,0.75300771,2841.457936,261807.4836,5802
E01008967,365308.75,603349.6867,Birmingham 110A,1682,358.7096863,1.651615739,1.209226251,5250.943854,365308.7481,4604
E01008968,339490.2813,470543.6093,Birmingham 110B,1762,267.0508423,1.38602972,0.900240302,3746.153842,339490.2785,5190
E01008969,435583.0625,640682.1574,Birmingham 117C,1551,413.0768127,1.470861077,1.392500401,3126.595774,435583.0565,3561
